,iterations,tournament_size,exp_transformation_steps,step,expected_arcs
0,100000,3,1.0,0,1.0
1,100000,3,1.0,1,0.49874
2,100000,4,1.75033,0,1.0
3,100000,4,1.75033,1,1.0014
4,100000,4,1.75033,2,0.50118
5,100000,5,2.65513,0,1.0
6,100000,5,2.65513,1,1.50014
7,100000,5,2.65513,2,1.18643
8,100000,5,2.65513,3,0.59398
9,100000,6,3.70672,0,1.0
10,100000,6,3.70672,1,1.99853
11,100000,6,3.70672,2,1.94082
12,100000,6,3.70672,3,1.4256
13,100000,6,3.70672,4,0.71391
14,100000,7,4.80441,0,1.0
15,100000,7,4.80441,1,2.49886
16,100000,7,4.80441,2,2.70284
17,100000,7,4.80441,3,2.30934
18,100000,7,4.80441,4,1.62984
19,100000,7,4.80441,5,0.81533
20,100000,8,5.89124,0,1.0
21,100000,8,5.89124,1,3.00587
22,100000,8,5.89124,2,3.47366
23,100000,8,5.89124,3,3.21107
24,100000,8,5.89124,4,2.58749
25,100000,8,5.89124,5,1.78221
26,100000,8,5.89124,6,0.89156
27,100000,9,6.93992,0,1.0
28,100000,9,6.93992,1,3.50359
29,100000,9,6.93992,2,4.2329
30,100000,9,6.93992,3,4.10015
31,100000,9,6.93992,4,3.53636
32,100000,9,6.93992,5,2.75875
33,100000,9,6.93992,6,1.87457
34,100000,9,6.93992,7,0.93721
35,100000,10,7.96778,0,1.0
36,100000,10,7.96778,1,3.99589
37,100000,10,7.96778,2,4.98603
38,100000,10,7.96778,3,4.98389
39,100000,10,7.96778,4,4.4854
40,100000,10,7.96778,5,3.73693
41,100000,10,7.96778,6,2.86345
42,100000,10,7.96778,7,1.92988
43,100000,10,7.96778,8,0.96527
44,100000,11,8.98347,0,1.0
45,100000,11,8.98347,1,4.50299
46,100000,11,8.98347,2,5.74553
47,100000,11,8.98347,3,5.87015
48,100000,11,8.98347,4,5.43037
49,100000,11,8.98347,5,4.71173
50,100000,11,8.98347,6,3.8535
51,100000,11,8.98347,7,2.92464
52,100000,11,8.98347,8,1.96139
53,100000,11,8.98347,9,0.98101
54,100000,12,9.99045,0,1.0
55,100000,12,9.99045,1,5.00004
56,100000,12,9.99045,2,6.49201
57,100000,12,9.99045,3,6.74344
58,100000,12,9.99045,4,6.36787
59,100000,12,9.99045,5,5.68096
60,100000,12,9.99045,6,4.8372
61,100000,12,9.99045,7,3.9175
62,100000,12,9.99045,8,2.95737
63,100000,12,9.99045,9,1.97801
64,100000,12,9.99045,10,0.98837
65,100000,13,10.99633,0,1.0
66,100000,13,10.99633,1,5.50799
67,100000,13,10.99633,2,7.25731
68,100000,13,10.99633,3,7.62883
69,100000,13,10.99633,4,7.31602
70,100000,13,10.99633,5,6.65693
71,100000,13,10.99633,6,5.82777
72,100000,13,10.99633,7,4.9131
73,100000,13,10.99633,8,3.9556
74,100000,13,10.99633,9,2.97729
75,100000,13,10.99633,10,1.98803
76,100000,13,10.99633,11,0.99395
77,100000,14,11.99767,0,1.0
78,100000,14,11.99767,1,6.01414
79,100000,14,11.99767,2,7.99798
80,100000,14,11.99767,3,8.50422
81,100000,14,11.99767,4,8.25439
82,100000,14,11.99767,5,7.6241
83,100000,14,11.99767,6,6.81281
84,100000,14,11.99767,7,5.90604
85,100000,14,11.99767,8,4.95374
86,100000,14,11.99767,9,3.9767
87,100000,14,11.99767,10,2.98856
88,100000,14,11.99767,11,1.99405
89,100000,14,11.99767,12,0.99707
90,100000,15,12.9987,0,1.0
91,100000,15,12.9987,1,6.49159
92,100000,15,12.9987,2,8.7377
93,100000,15,12.9987,3,9.36766
94,100000,15,12.9987,4,9.18254
95,100000,15,12.9987,5,8.59147
96,100000,15,12.9987,6,7.79707
97,100000,15,12.9987,7,6.89962
98,100000,15,12.9987,8,5.95052
99,100000,15,12.9987,9,4.9748
100,100000,15,12.9987,10,3.98684
101,100000,15,12.9987,11,2.99343
102,100000,15,12.9987,12,1.99656
103,100000,15,12.9987,13,0.99819
104,100000,16,13.9987,0,1.0
105,100000,16,13.9987,1,7.00391
106,100000,16,13.9987,2,9.50327
107,100000,16,13.9987,3,10.25261
108,100000,16,13.9987,4,10.12384
109,100000,16,13.9987,5,9.56052
110,100000,16,13.9987,6,8.77949
111,100000,16,13.9987,7,7.89018
112,100000,16,13.9987,8,6.94495
113,100000,16,13.9987,9,5.97185
114,100000,16,13.9987,10,4.98555
115,100000,16,13.9987,11,3.99272
116,100000,16,13.9987,12,2.99629
117,100000,16,13.9987,13,1.99814
118,100000,16,13.9987,14,0.99908
119,100000,17,14.99972,0,1.0
120,100000,17,14.99972,1,7.49609
121,100000,17,14.99972,2,10.24255
122,100000,17,14.99972,3,11.12142
123,100000,17,14.99972,4,11.05835
124,100000,17,14.99972,5,10.52922
125,100000,17,14.99972,6,9.7651
126,100000,17,14.99972,7,8.88338
127,100000,17,14.99972,8,7.94202
128,100000,17,14.99972,9,6.97106
129,100000,17,14.99972,10,5.9856
130,100000,17,14.99972,11,4.9928
131,100000,17,14.99972,12,3.99654
132,100000,17,14.99972,13,2.9982
133,100000,17,14.99972,14,1.99906
134,100000,17,14.99972,15,0.99956
135,100000,18,15.99955,0,1.0
136,100000,18,15.99955,1,8.00577
137,100000,18,15.99955,2,10.99675
138,100000,18,15.99955,3,11.99677
139,100000,18,15.99955,4,11.99974
140,100000,18,15.99955,5,11.50074
141,100000,18,15.99955,6,10.75187
142,100000,18,15.99955,7,9.87594
143,100000,18,15.99955,8,8.93835
144,100000,18,15.99955,9,7.96946
145,100000,18,15.99955,10,6.98463
146,100000,18,15.99955,11,5.99224
147,100000,18,15.99955,12,4.99607
148,100000,18,15.99955,13,3.99802
149,100000,18,15.99955,14,2.99896
150,100000,18,15.99955,15,1.99955
151,100000,18,15.99955,16,0.99983
152,100000,19,16.99968,0,1.0
153,100000,19,16.99968,1,8.49947
154,100000,19,16.99968,2,11.75179
155,100000,19,16.99968,3,12.87506
156,100000,19,16.99968,4,12.93631
157,100000,19,16.99968,5,12.46725
158,100000,19,16.99968,6,11.73097
159,100000,19,16.99968,7,10.86491
160,100000,19,16.99968,8,9.93275
161,100000,19,16.99968,9,8.96628
162,100000,19,16.99968,10,7.98288
163,100000,19,16.99968,11,6.99167
164,100000,19,16.99968,12,5.99538
165,100000,19,16.99968,13,4.99756
166,100000,19,16.99968,14,3.99873
167,100000,19,16.99968,15,2.9994
168,100000,19,16.99968,16,1.9997
169,100000,19,16.99968,17,0.99984
170,100000,20,18.0,0,1.0
171,100000,20,18.0,1,9.00537
172,100000,20,18.0,2,12.49506
173,100000,20,18.0,3,13.7468
174,100000,20,18.0,4,13.87431
175,100000,20,18.0,5,13.43801
176,100000,20,18.0,6,12.71946
177,100000,20,18.0,7,11.85917
178,100000,20,18.0,8,10.92947
179,100000,20,18.0,9,9.96501
180,100000,20,18.0,10,8.98327
181,100000,20,18.0,11,7.99144
182,100000,20,18.0,12,6.99573
183,100000,20,18.0,13,5.99776
184,100000,20,18.0,14,4.99885
185,100000,20,18.0,15,3.99943
186,100000,20,18.0,16,2.99979
187,100000,20,18.0,17,1.99991
188,100000,20,18.0,18,0.99994
